"date","value"
2022-04-30,100.80781
2022-05-31,103.57332
2022-06-30,100.10454
2022-07-31,99.38424
2022-08-31,99.89732
2022-09-30,100.63965
2022-10-31,101.16902
2022-11-30,100.33842
2022-12-31,98.33787
2023-01-31,100.80742
2023-02-28,101.08706
2023-03-31,101.93794
2023-04-30,102.09073
2023-05-31,101.25914
2023-06-30,101.30703
2023-07-31,102.22358
2023-08-31,102.04796
2023-09-30,102.82283
2023-10-31,102.46687
2023-11-30,102.643
2023-12-31,101.16315
2024-01-31,103.7311
