"Nível Territorial (Código)","Nível Territorial","Unidade de Medida (Código)","Unidade de Medida","Valor","Brasil (Código)","Brasil","Variável (Código)","Variável","Trimestre (Código)","Trimestre","Setores e subsetores (Código)","Setores e subsetores"
"1","Brasil","30","Número-índice",167.75,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201104","4º trimestre 2011","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",163.19,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201201","1º trimestre 2012","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",167.97,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201202","2º trimestre 2012","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",173.63,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201203","3º trimestre 2012","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",171.91,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201204","4º trimestre 2012","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",167.63,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201301","1º trimestre 2013","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",174.73,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201302","2º trimestre 2013","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",178.42,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201303","3º trimestre 2013","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",176.26,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201304","4º trimestre 2013","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",173.45,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201401","1º trimestre 2014","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",173.97,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201402","2º trimestre 2014","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",177.28,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201403","3º trimestre 2014","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",175.86,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201404","4º trimestre 2014","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",170.64,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201501","1º trimestre 2015","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",169.2,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201502","2º trimestre 2015","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",169.72,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201503","3º trimestre 2015","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",166.15,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201504","4º trimestre 2015","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",161.87,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201601","1º trimestre 2016","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",163.75,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201602","2º trimestre 2016","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",165.55,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201603","3º trimestre 2016","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",162.39,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201604","4º trimestre 2016","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",162.33,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201701","1º trimestre 2017","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",165.04,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201702","2º trimestre 2017","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",168.27,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201703","3º trimestre 2017","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",166.58,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201704","4º trimestre 2017","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",165.42,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201801","1º trimestre 2018","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",167.71,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201802","2º trimestre 2018","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",171.73,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201803","3º trimestre 2018","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",169.17,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201804","4º trimestre 2018","90707","PIB a preços de mercado"
